feature,ks_statistic,p_value,significant_drift
hour,0.1737145549015816,8.115816171551345e-143,True
time_of_day,0.1737145549015816,8.115816171551345e-143,True
category_enc,0.13968791713930584,2.7745262180710237e-92,True
title_length_x_category,0.11474720988207948,2.507233197190355e-62,True
word_count_x_category,0.10920795223506685,1.7598628490211655e-56,True
has_colon_x_category,0.040513064347770134,3.95364153376014e-08,True
has_colon,0.03677524489060979,8.962392350088723e-07,True
title_length,0.030568063620978414,8.19588437026675e-05,True
emb_1,0.030529297757815155,8.408295953047344e-05,True
emb_0,0.02934762781899275,0.00018057887820240704,True
has_quotes_x_category,0.026844829159775707,0.0008251091728937456,True
emb_3,0.026395140291485875,0.0010686660873714569,True
emb_2,0.02332730201567501,0.005553618759721493,True
emb_4,0.023310046442013954,0.00560211767794629,True
has_number,0.01856546167712203,0.04794288408254954,True
title_features_combined,0.015340987949509666,0.1562188736312451,False
title_word_count,0.011335358104653137,0.4887396848774277,False
has_quotes,0.010220543650838354,0.6223004597748946,False
has_question,0.005976042769399004,0.9899689260803635,False
has_exclamation,0.002404023701158664,0.9999999999999998,False
