category,samples,baseline_rate,auc,log_loss,lift,performance_vs_overall
7,134,0.12686567164179105,0.7184514831573655,0.5025959020670985,0.2184514831573655,0.025663484885189103
0,298,0.2181208053691275,0.7002310993727303,0.6021751979356723,0.20023109937273031,0.007443101100553906
12,391,0.18925831202046037,0.6912353994372922,0.5544231832976682,0.19123539943729218,-0.0015525988348842334
9,1755,0.3207977207977208,0.6778836410886073,0.6496331394433001,0.17788364108860732,-0.014904357183569084
6,730,0.14931506849315068,0.6737283753637962,0.5153398276823461,0.17372837536379615,-0.019059622908380258
13,156,0.21153846153846154,0.6678984971667898,0.6983423950249632,0.16789849716678984,-0.02488950110538657
15,171,0.2807017543859649,0.6367716802168022,0.6471143693119291,0.1367716802168022,-0.056016318055374215
2,550,0.1890909090909091,0.6315971024491204,0.5514365589188099,0.13159710244912037,-0.061190895823056035
4,408,0.19362745098039216,0.6302951021507445,0.5795177870364102,0.13029510215074447,-0.06249289612143194
11,1269,0.45390070921985815,0.6263177409010743,0.6764919872174934,0.12631774090107428,-0.06647025737110213
3,481,0.21413721413721415,0.6190861457851748,0.5706643822752837,0.11908614578517485,-0.07370185248700156
8,138,0.18115942028985507,0.6134513274336283,0.635649438196158,0.11345132743362829,-0.07933667083854812
14,328,0.25609756097560976,0.6130952380952381,0.6606133200513172,0.11309523809523814,-0.07969276017693827
1,183,0.22404371584699453,0.5809000343524562,0.5819415328838151,0.08090003435245618,-0.11188796391972022
